Title,Abstract,Tags,Category
"Climate change, water and gender: Impact and adaptation in North-Eastern Hills of India","Water resources in India are projected to face severe climate-induced stress. In the North-Eastern Hill region, where lifestyles are closely connected to nature, this holds great implications for human development. While scientific knowledge regarding climate change and water is growing at global and regional scales, an equally diverse body of knowledge on the human dimensions of the same at local levels is weak. This article attempts to bridge this knowledge gap by presenting micro-level evidence on the gendered impact of increasing water stress and the innovative gendered local adaptive strategies in this region. It urges for the need to re-think on adaptation planning, basing it on local templates for greater sustainability.",,Biophysical
Can glacial retreat lead to migration? A critical discussion of the impact of glacier shrinkage upon population mobility in the Bolivian Andes,"This article examines the role of glacial retreat on human migration in the Bolivian Andes—a topic with virtually no scholarly focus, yet of critical importance in the era of global climate change. Glacial melting has increased since the 1980s, and popular reports often suggest there will be signiﬁcant impacts on local populations, including migration. Based on interviews with local residents, both migrants and nonmigrants, as well as topical experts, this study suggests that residents do, indeed, have serious concerns about future livelihood conditions in the Bolivian Andes. Even so, glacial retreat has not triggered new migration ﬂows and has had a limited impact on the existing migratory patterns.",,Biophysical
Spatial risk assessment of global change impacts on Swedish seagrass ecosystems,"Improved knowledge on the risk in ecologically important habitats on a regional scale from multiple stressors is critical for managing functioning and resilient ecosystems. This risk assessment aimed to identify seagrass ecosystems in southern Sweden that will be exposed to a high degree of change from multiple global change stressors in mid- and end-of-century climate change conditions. Risk scores were calculated from the expected overlap of three stressors: sea surface temperature increases, ocean acidification and wind driven turbid conditions. Three high-risk regions were identified as areas likely to be exposed to a particularly high level of pressure from the global stressors by the end of the century. In these areas it can be expected that there will be a large degree of stressor change from the current conditions. Given the ecological importance of seagrass meadows for maintaining high biodiversity and a range of other ecosystem services, these risk zones should be given high priority for incorporation into management strategies, which can attempt to reduce controllable stressors in order to mitigate the consequences of some of the impending pressures and manage for maintained ecosystem resilience.",,Biophysical
Living with risk of natural disasters,"The paper scrutinizes the role of internal geodynamics of Earth, technogenesis and global climate changes in the context of aggravating hazardous natural processes on the Earth. Intensification of geohazards due to a number of techno-natural factors requires the elaboration of a new strategy of modern civilization development based on keeping the balance between the human economic activity and the environment protection. The strategy of living with natural disasters based on the assessment of natural risks of socio-economic losses is discussed. The procedure of natural risk assessment is exemplified by the map of complex individual natural risk for population of the Russian Federation with the account of earthquakes, floods, hurricanes, snow avalanches, landslides, and mudflows. The necessity of developing the scientifically grounded policy of human technogenic activity based on the principle of technogenesis-environment coevolution is reported.",global climate change; hazardous technonatural processes; internal geodynamics of the Earth; risk assessment; Technogenesis,Biophysical
"Role of financial development, economic growth & foreign direct investment in driving climate change: A case of emerging ASEAN","In the context of remarkable economic growth and financial development in the emerging economies of East Asia, this paper attempts to shed light on the ecological consequences (CO2 emission) of economic growth, foreign direct investment and financial development in the selected ASEAN-5 economies. Drawing on the data from 1982 to 2014, we employed a set of quantitative techniques for panel data analysis which entailed Dynamic Ordinary Least Squares (DOLS) and Fully Modified OLS (FMOLS) approaches. Our findings indicate that financial and economic development, as well as FDI, have a statistically significant long-run co-integrating relationship with environmental degradation (CO2 emissions) in the under analysis economies. It showed that in ASEAN-5 countries, economic growth, financial development and FDI leads to an increase in environmental degradation. The quadratic term for economic growth showed a negative impact on environmental degradation i.e. Environmental Kuznets Curve (EKC). Our key findings manifest and emphasise the importance of appropriate policies for more inclusive economic and financial development and sustainable foreign direct investment which does not impede on the environment.",Economic growth; asean; carbon-dioxide   emissions; causality analysis; clean energy use; CO2 emission; co2 emissions; coal   consumption; Emerging economies; environmental kuznets curve; Environmental kuznets curve (ECK); fdi; Financial   development; fmols; granger causality; heterogeneous panels; international-trade; pollution haven hypothesis; Pollution heavens hypothesis (PHH),Biophysical
Sustainable health equity: achieving a net-zero UK,"Tony Atkinson's 2015 book Inequality begins with the observation that, according to population surveys in the USA and Europe, the two biggest global problems are inequality and climate change.1 These two big problems need to be tackled at the same time. In particular, combatting climate change and reducing avoidable health inequalities—promoting health equity—should be part of a common agenda. We label it sustainable health equity.",,Biophysical
Are major events capable of affecting country rankings? Validating composite indexes of human progress and environmental performance,"A desired characteristic of composite indicators is sensitivity to major adverse events. This paper explores how major civil wars and the 2004 tsunami have influenced Human Development Index (HDI) and Environmental Performance Index (EPI) index values of the affected countries, respectively. The analysis shows that HDI and EPI scores have barely changed, being almost exclusively due to variations in GNI/capita for HDI and air quality for EPI. This casts doubt on the composite indexes’ usefulness and their ability to reflect major environmental and societal changes in the affected countries, or shows which dimensions are truly resilient to these events and can constitute a sustainable base for postwar/post-disaster recovery. Human progress and ecological indicators may need an overhaul, in order to account for the changes that actually happen at a point in time, in order to capture substantial changes in the socio-economic and ecological fabric of a country. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",,Biophysical
Biological consequences of global change for birds,"Climate is currently changing at an unprecedented rate; so also human exploitation is rapidly changing the Earth for agriculture, forestry, fisheries and urbanization. In addition, pollution has affected even the most remote ecosystems, as has the omnipresence of humans, with consequences in particular for animals that keep a safe distance from potential predators, including human beings. Importantly, all of these changes are occurring simultaneously, with increasing intensity, and further deterioration in both the short and the long-term is predicted. While the consequences of these components of global change are relatively well studied on their own, the effects of their interactions, such as the combined effects of climate change and agriculture, or the combined effects of agriculture through nutrient leakage to freshwater and marine ecosystems and fisheries, and the effects of climate change and urbanization, are poorly understood. Here, I provide a brief overview of the effects of climate change on phenology, diversity, abundance, interspecific interactions and population dynamics of birds. I address whether these effects of changing temperatures are direct, or indirect through effects of climate change on the phenology, distribution or abundance of food, parasites and predators. Finally, I review interactions between different components of global change. (© 2012 Wiley Publishing Asia Pty Ltd, ISZS and IOZ/CAS.)",,Biophysical
"Climate change and ecosystems: threats, opportunities and solutions","The rapid anthropogenic climate change that is being experienced in the early twenty-first century is intimately entwined with the health and functioning of the biosphere. Climate change is impacting ecosystems through changes in mean conditions and in climate variability, coupled with other associated changes such as increased ocean acidification and atmospheric carbon dioxide concentrations. It also interacts with other pressures on ecosystems, including degradation, defaunation and fragmentation. There is a need to understand the ecological dynamics of these climate impacts, to identify hotspots of vulnerability and resilience and to identify management interventions that may assist biosphere resilience to climate change. At the same time, ecosystems can also assist in the mitigation of, and adaptation to, climate change. The mechanisms, potential and limits of such nature-based solutions to climate change need to be explored and quantified. This paper introduces a thematic issue dedicated to the interaction between climate change and the biosphere. It explores novel perspectives on how ecosystems respond to climate change, how ecosystem resilience can be enhanced and how ecosystems can assist in addressing the challenge of a changing climate. It draws on a Royal Society-National Academy of Sciences Forum held in Washington DC in November 2018, where these themes and issues were discussed. We conclude by identifying some priorities for academic research and practical implementation, in order to maximize the potential for maintaining a diverse, resilient and well-functioning biosphere under the challenging conditions of the twenty-first century. This article is part of the theme issue 'Climate change and ecosystems: threats, opportunities and solutions'.",adaptation; mitigation; biosphere; climate change impacts; nature-based solutions; resilience,Biophysical
Messages promoting genetic modification of crops in the context of climate change: Evidence for psychological reactance,"Genetic modification (GM) of crops and climate change are arguably two of today's most challenging science communication issues. Increasingly, these two issues are connected in messages proposing GM as a viable option for ensuring global food security threatened by climate change. This study examines the effects of messages promoting the benefits of GM in the context of climate change. Further, it examines whether explicit reference to 'climate change,' or 'global warming' in a GM message results in different effects than each other, or an implicit climate reference. An online sample of U.S. participants (N = 1050) were randomly assigned to one of four conditions: 'climate change' cue, 'global warming' cue, implicit cue, or control (no message). Generally speaking, framing GM crops as a way to help ensure global food security proved to be an effective messaging strategy in increasing positive attitudes toward GM. In addition, the implicit cue condition led to liberals having more positive attitudes and behavioral intentions toward GM than the 'climate change' cue condition, an effect mediated by message evaluations. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",,Biophysical
Existential risk due to ecosystem collapse: Nature strikes back,"Epic tales of existential catastrophe have been written down for thousands of years, and in Christian traditions were linked to the punishment of humanity for its sins. We are still imagining new storylines for the end-of-civilization, with a rich genre of Hollywood films depicting either the struggles of remnant humans in a post-apocalyptic world, or some event that threatens the very survival of our species. Instead of a spiritual reckoning imposed by God, Hollywood’s Armageddon is usually the result of technology run amok, or mindless industrialization and population growth causing an environmental collapse. While dramatization of an environmental Armageddon might seem fanciful, existential risk warrants serious consideration even though the probability of an apocalypse is vanishingly small. If we are to avoid the unthinkable and unimaginable, then we need to ask what might be the most plausible pathways to an environmental apocalypse? We review the major environmental concepts pertinent to apocalyptic events, and conclude that positive feedback loops and multiplicative stresses represent the gravest existential risks, and the risks society is least likely to foresee. Zombies created by a misbegotten genetically engineered virus might make for a great movie, but it is the hubris of technical experts who are blind to surprising interaction networks, or who are unaware of positive feedback loops that will be our undoing.",Ecosystem collapse; Existential risks; Multiplicative stresses; Planetary boundaries; Positive feedbacks,Biophysical
Carbon sequestration,"Developing technologies to reduce the rate of increase of atmospheric concentration of carbon dioxide (CO2) from annual emissions of 8.6 Pg C yr–1 from energy, process industry, land-use conversion and soil cultivation is an important issue of the twenty-first century. Of the three options of reducing the global energy use, developing low or no-carbon fuel and sequestering emissions, this manuscript describes processes for carbon (CO2) sequestration and discusses abiotic and biotic technologies. Carbon sequestration implies transfer of atmospheric CO2 into other long-lived global pools including oceanic, pedologic, biotic and geological strata to reduce the net rate of increase in atmospheric CO2. Engineering techniques of CO2 injection in deep ocean, geological strata, old coal mines and oil wells, and saline aquifers along with mineral carbonation of CO2 constitute abiotic techniques. These techniques have a large potential of thousands of Pg, are expensive, have leakage risks and may be available for routine use by 2025 and beyond. In comparison, biotic techniques are natural and cost-effective processes, have numerous ancillary benefits, are immediately applicable but have finite sink capacity. Biotic and abiotic C sequestration options have specific nitches, are complementary, and have potential to mitigate the climate change risks.",climate change; chemical sequestration; geological sequestration; greenhouse effect; oceanic sequestration; soil management,Biophysical
Civil conflicts are associated with the global climate,"Historians and scientists have long theorized that the global climate and global patterns of violence might be connected, but this idea has never been directly tested with data. Now a new analysis examines whether civil conflicts might be linked to the El Niño-Southern Oscillation (ENSO), the dominant mode of interannual variability in the modern global climate. Using data on tropical countries collected between 1950 and 2004, the study finds that the probability of new civil conflicts breaking out in El Niño years is double that seen in cooler La Niña years. Overall, these findings suggest that the ENSO may have played a part in initiating 21% of all civil conflicts since 1950. This study represents the first demonstration that the stability of modern societies is associated with the global climate.",,Biophysical
Evolution of carbon sinks in a changing climate,"Climate change is expected to influence the capacities of the land and oceans to act as repositories for anthropogenic CO2 and hence provide a feedback to climate change. A series of experiments with the National Center for Atmospheric Research-Climate System Model 1 coupled carbon-climate model shows that carbon sink strengths vary with the rate of fossil fuel emissions, so that carbon storage capacities of the land and oceans decrease and climate warming accelerates with faster CO2 emissions. Furthermore, there is a positive feedback between the carbon and climate systems, so that climate warming acts to increase the airborne fraction of anthropogenic CO2 and amplify the climate change itself. Globally, the amplification is small at the end of the 21st century in this model because of its low transient climate response and the near-cancellation between large regional changes in the hydrologic and ecosystem responses. Analysis of our results in the context of comparable models suggests that destabilization of the tropical land sink is qualitatively robust, although its degree is uncertain.",,Biophysical
Disturbance to Marine Benthic Habitats by Trawling and Dredging: Implications for Marine Biodiversity,"▪ Abstract  The direct effects of marine habitat disturbance by commercial fishing have been well documented. However, the potential ramifications to the ecological function of seafloor communities and ecosystems have yet to be considered. Soft-sediment organisms create much of their habitat's structure and also have crucial roles in many population, community, and ecosystem processes. Many of these roles are filled by species that are sensitive to habitat disturbance. Functional extinction refers to the situation in which species become so rare that they do not fulfill the ecosystem roles that have evolved in the system. This loss to the ecosystem occurs when there are restrictions in the size, density, and distribution of organisms that threaten the biodiversity, resilience, or provision of ecosystem services. Once the functionally important components of an ecosystem are missing, it is extremely difficult to identify and understand ecological thresholds. The extent and intensity of human disturbance to oceanic ecosystems is a significant threat to both structural and functional biodiversity and in many cases this has virtually eliminated natural systems that might serve as baselines to evaluate these impacts.",,Biophysical
The Influence of Paleoclimate on Present-Day Patterns in Biodiversity and Ecosystems,"Earth's climate has experienced strong changes on timescales ranging from decades to millions of years. As biodiversity has evolved under these circumstances, dependence on these climate dynamics is expected. In this review, we assess the current state of knowledge on paleoclimatic legacies in biodiversity and ecosystem patterns. Paleoclimate has had strong impacts on past biodiversity dynamics, driving range shifts and extinctions as well as diversification. We outline theory for how these dynamics may have left legacies in contemporary patterns and review the empirical evidence. We report ample evidence that Quaternary glacial–interglacial climate change affects current patterns of species distributions and diversity across a broad range of organisms and regions. We also report emerging evidence for paleoclimate effects on current patterns in phylogenetic and functional diversity and ecosystem functioning and for legacies of deeper-time paleoclimate conditions. Finally, we discuss implications for Anthropocene ecology and outline an agenda to improve our understanding of paleoclimate's role in shaping contemporary biodiversity and ecosystems.",,Biophysical
Beyond the Plankton Ecology Group (PEG) Model: Mechanisms Driving Plankton Succession,"The seasonal succession of plankton is an annually repeated process of community assembly during which all major external factors and internal interactions shaping communities can be studied. A quarter of a century ago, the state of this understanding was described by the verbal plankton ecology group (PEG) model. It emphasized the role of physical factors, grazing and nutrient limitation for phytoplankton, and the role of food limitation and fish predation for zooplankton. Although originally targeted at lake ecosystems, it was also adopted by marine plankton ecologists. Since then, a suite of ecological interactions previously underestimated in importance have become research foci: overwintering of key organisms, the microbial food web, parasitism, and food quality as a limiting factor and an extended role of higher order predators. A review of the impact of these novel interactions on plankton seasonal succession reveals limited effects on gross seasonal biomass patterns, but strong effects on species replacements.",,Biophysical
The Role of Nature-Based Solutions in Supporting Social-Ecological Resilience for Climate Change Adaptation,"Social-ecological systems underpinning nature-based solutions (NbS) must be resilient to changing conditions if NbS are to contribute to long-term climate change adaptation. We develop a two-part conceptual framework linking social-ecological resilience to adaptation outcomes in NbS. Part one determines the potential of NbS to support resilience based on assessing whether NbS affect key mechanisms known to enable resilience. Examples include social-ecological diversity, connectivity, and inclusive decision-making. Part two includes adaptation outcomes that building social-ecological resilience can sustain, known as nature's contributions toadaptation (NCAs). We apply the framework to a global dataset of NbS in forests. We find evidence that NbS may be supporting resilience by influencing many enabling mechanisms. NbS also deliver many NCAs such as flood and drought mitigation. However, there is less evidence for some mechanisms and NCAs critical for resilience to long-term uncertainty. We present future research questions to better understand how NbS can continue to support social-ecological systems in a changing world.",,Biophysical
Biodiversity and Ecosystem Functioning,"Species diversity is a major determinant of ecosystem productivity, stability, invasibility, and nutrient dynamics. Hundreds of studies spanning terrestrial, aquatic, and marine ecosystems show that high-diversity mixtures are approximately twice as productive as monocultures of the same species and that this difference increases through time. These impacts of higher diversity have multiple causes, including interspecific complementarity, greater use of limiting resources, decreased herbivory and disease, and nutrient-cycling feedbacks that increase nutrient stores and supply rates over the long term. These experimentally observed effects of diversity are consistent with predictions based on a variety of theories that share a common feature: All have trade-off-based mechanisms that allow long-term coexistence of many different competing species. Diversity loss has an effect as great as, or greater than, the effects of herbivory, fire, drought, nitrogen addition, elevated CO               2               , and other drivers of environmental change. The preservation, conservation, and restoration of biodiversity should be a high global priority.",,Biophysical
"Illegal Wildlife Trade: Scale, Processes, and Governance","Illegal wildlife trade (IWT) has increased in profile in recent years as a global policy issue, largely because of its association with declines in prominent internationally trafficked species. In this review, we explore the scale of IWT, associated threats to biodiversity, and appropriate responses to these threats. We discuss the historical development of IWT research and highlight the uncertainties that plague the evidence base, emphasizing the need for more systematic approaches to addressing evidence gaps in a way that minimizes the risk of unethical or counterproductive outcomes for wildlife and people. We highlight the need for evaluating interventions in order to learn, and the importance of sharing datasets and lessons learned. A more collaborative approach to linking IWT research, practice, and policy would better align public policy discourse and action with research evidence. This in turn would enable more effective policy making that contributes to reducing the threat to biodiversity that IWT represents.",,Biophysical
Understanding the Effects of Marine Biodiversity on Communities and Ecosystems,"There is growing interest in the effects of changing marine biodiversity on a variety of community properties and ecosystem processes such as nutrient use and cycling, productivity, stability, and trophic transfer. We review published marine experiments that manipulated the number of species, genotypes, or functional groups. This research reveals several emerging generalities. In studies of primary producers and sessile animals, diversity often has a weak effect on production or biomass, especially relative to the strong effect exerted by individual species. However, sessile taxon richness did consistently decrease variability in community properties, and increased resistance to, or recovery from disturbance or invasion. Multitrophic-level studies indicate that, relative to depauperate assemblages of prey species, diverse ones (a) are more resistant to top-down control, (b) use their own resources more completely, and (c) increase consumer fitness. In contrast, predator diversity can either increase or decrease the strength of top-down control because of omnivory and because interactions among predators can have positive and negative effects on herbivores. Recognizing that marine and terrestrial approaches to understanding diversity-function relationships are converging, we close with suggestions for future research that apply across habitats.",,Biophysical
Networks of Power in Archaeology,"Archaeologists and other social scientists have long argued that exercising power is a relational process. One way of modeling these relations is to see them as organized within social networks through which the resources needed to exert power in all its forms flow differentially. Two approaches to describing these interactions and understanding their political implications are particularly salient in the literature. One perspective draws from graph theory to describe how people's positions in established network structures affect their political aspirations and achievements. The other sees social nets as outcomes of strategies employed by actors seeking to define and achieve political goals within structural constraints. The advantages and limitations of these viewpoints are briefly reviewed, along with their implications for understanding past political processes.",,Biophysical
The Population Biology of Large Brown Seaweeds: Ecological Consequences of Multiphase Life Histories in Dynamic Coastal Environments,"Seaweed population biology has received far less attention than trophic dynamics, yet is critically important in establishing and maintaining algal communities. Complex life histories of habitat-forming kelps and fucoids, including spores, gametophytes, gametes, and microscopic and macroscopic benthic stages, must be considered within the context of their highly dynamic nearshore environments. We evaluate differences within and between kelps and fucoids in life histories as they affect population biology; dispersal and potential limitations in population establishment; macroscopic stages and variations in survival and longevity affecting stand structure; and microscopic stage responses to disturbance and variation in the physical environment. We suggest that the commonly made comparisons of seaweeds with terrestrial seed plants are misleading because of large differences in morphology, environments, and the ephemeral nature of propagule banks in the sea. We conclude that progress in understanding algal populations depends on better knowledge of microscopic stages and on feedback through density-dependent reproductive processes, dispersal, and settlement.",,Biophysical
Global Marine Biodiversity Trends,"▪ Abstract  Marine biodiversity encompasses all levels of complexity of life in the sea, from within species to across ecosystems. At all levels, marine biodiversity has naturally exhibited a general, slow trajectory of increase, punctuated by mass extinctions at the evolutionary scale and by disturbances at the ecological scale. In historical times, a synergy of human threats, including overfishing, global warming, biological introductions, and pollution, has caused a rapid decline in global marine biodiversity, as measured by species extinctions, population depletions, and community homogenization. The consequences of this biodiversity loss include changes in ecosystem function and a reduction in the provision of ecosystem services. Global biodiversity loss will continue and likely accelerate in the future, with potentially more frequent ecological collapses and community-wide shifts. However, the timing and magnitude of these catastrophic events are probably unpredictable.",,Biophysical
Cascading Impacts of Seed Disperser Loss on Plant Communities and Ecosystems,"Seed dispersal is key to the persistence and spread of plant populations. Because the majority of plant species rely on animals to disperse their seeds, global change drivers that directly affect animals can cause cascading impacts on plant communities. In this review, we synthesize studies assessing how disperser loss alters plant populations, community patterns, multitrophic interactions, and ecosystem functioning. We argue that the magnitude of risk to plants from disperser loss is shaped by the combination of a plant species’ inherent dependence on seed dispersal and the severity of the hazards faced by their dispersers. Because the factors determining a plant species’ risk of decline due to disperser loss can be related to traits of the plants and dispersers, our framework enables a trait-based understanding of change in plant community composition and ecosystem functioning. We discuss how interactions among plants, among dispersers, and across other trophic levels also mediate plant community responses, and we identify areas for future research to understand and mitigate the consequences of disperser loss on plants globally.",,Biophysical
Scientific Bases of Macroenvironmental Indicators,"We review the development of macroenvironmental indicators, an effort driven by a combination of improved understanding of the functioning of Earth's natural systems at large spatial and temporal scales and of increasing demands by an expanding human population for goods and services provided by ecosystems. To be credible, macroenvironmental indicators need to be based on established scientific concepts and supported by extensive data. To be adopted, they need to serve the interests of diverse stakeholders and be perceived as unbiased. The baselines against which they are evaluated must be clear. A modest number of macroindicators of abiotic natural capital, biotic natural capital, and ecological functioning are currently in use. Some of them are designed to report on trends in legislatively mandated goals and standards. Most environmental indicators, however, report on specific components of the environment at small scales. They are not readily aggregated to form synthetic macroenvironmental indicators.",,Biophysical
Ecology of Plant and Free-Living Nematodes in Natural and Agricultural Soil,"Nematodes are aquatic organisms that depend on thin water films to live and move within existing pathways of soil pores of 25–100 μm diameter. Soil nematodes can be a tool for testing ecological hypotheses and understanding biological mechanisms in soil because of their central role in the soil food web and linkage to ecological processes. Ecological succession is one of the most tested community ecology concepts, and a variety of nematode community indices have been proposed for purposes of environmental monitoring. In contrast, theories of biogeography, colonization, optimal foraging, and niche partitioning by nematodes are poorly understood. Ecological hypotheses related to strategies of coexistence of nematode species sharing the same resource have potential uses for more effective biological control and use of organic amendments to foster disease suppression. Essential research is needed on nematodes in natural and agricultural soils to synchronize nutrient release and availability relative to plant needs, to test ecological hypotheses, to apply optimal foraging and niche partitioning strategies for more effective biological control, to blend organic amendments to foster disease suppression, to monitor environmental and restoration status, and to develop better predictive models for land-use decisions.",,Biophysical
Introduction of Non-Native Oysters: Ecosystem Effects and Restoration Implications,"▪ Abstract  Oysters have been introduced worldwide to 73 countries, but the ecological consequences of the introductions are not fully understood. Economically, introduced oysters compose a majority of oyster harvests in many areas. Oysters are ecosystem engineers that influence many ecological processes, such as maintenance of biodiversity, population and food web dynamics, and nutrient cycling. Consequently, both their loss, through interaction of overharvest, habitat degradation, disease, poor water quality, and detrimental species interactions, and their gain, through introductions, can cause complex changes in coastal ecosystems. Introductions can greatly enhance oyster population abundance and production, as well as populations of associated native species. However, introduced oysters are also vectors for non-native species, including disease-causing organisms. Thus, substantial population, community, and habitat changes have accompanied new oysters. In contrast, ecosystem-level consequences of oyster introductions, such as impacts on flow patterns, sediment and nutrient dynamics, and native bioengineering species, are not well understood. Ecological risk assessments for future introductions must emphasize probabilities of establishment, spread, and impacts on vulnerable species, communities, and ecosystem properties. Many characteristics of oysters lead to predictions that they would be successful, high-impact members of recipient ecosystems. This conclusion leaves open the discussion of whether such impacts are desirable in terms of restoration of coastal ecosystems, especially where restoration of native oysters is possible.",,Biophysical
"Data, Models, and Decisions in U.S. Marine Fisheries Management: Lessons for Ecologists","▪ Abstract  Ecological and fisheries approaches to population modeling share many common tools and issues, yet they have developed quite independently over the past decades. The Sustainable Fisheries Act has pushed fisheries modeling into forecasting for management decision-making, which is an area where ecological modeling appears to be headed. We summarize how marine fisheries are managed in the United States, and how data and models are used to make the required forecasts. The recent management deliberations of red grouper in the Gulf of Mexico provide a case study of the sensitive relationship among data, models, and management decisions. We use the U.S. marine fisheries experience and the case study to discuss six lessons that ecologists should consider as they proceed toward forecasting for management. The need for forecasting is accelerating both in ecology and fisheries, while the margin for mistakes is getting smaller.",,Biophysical
Functional Ecology of Free-Living Nitrogen Fixation: A Contemporary Perspective,"Nitrogen (N) availability is thought to frequently limit terrestrial ecosystem processes, and explicit consideration of N biogeochemistry, including biological N               2               fixation, is central to understanding ecosystem responses to environmental change. Yet, the importance of free-living N               2               fixation—a process that occurs on a wide variety of substrates, is nearly ubiquitous in terrestrial ecosystems, and may often represent the dominant pathway for acquiring newly available N—is often underappreciated. Here, we draw from studies that investigate free-living N               2               fixation from functional, physiological, genetic, and ecological perspectives. We show that recent research and analytical advances have generated a wealth of new information that provides novel insight into the ecology of N               2               fixation as well as raises new questions and priorities for future work. These priorities include a need to better integrate free-living N               2               fixation into conceptual and analytical evaluations of the N cycle's role in a variety of global change scenarios.",,Biophysical
Jellyfish and Ctenophore Blooms Coincide with Human Proliferations and Environmental Perturbations,"Human populations have been concentrated along and exploiting the coastal zones for millennia. Of regions with the highest human impacts on the oceans ( Halpern et al. 2008 ), 6 of the top 10 have recently experienced blooms or problems with jellies. I review the time lines of human population growth and their effects on the coastal environment. I explore evidence suggesting that human activities—specifically, seafood harvest, eutrophication, hard substrate additions, transport of nonindigenous species, aquaculture, and climate change—may benefit jelly populations. Direct evidence is lacking for most of these factors; however, numerous correlations show abundant jellies in areas with warm temperatures and low forage fish populations. Jelly populations fluctuate in ∼10- and ∼20-year cycles in concert with solar and climate cycles. Global warming will provide a rising baseline against which climate cycles will cause fluctuations in jelly populations. The probable acceleration of anthropogenic effects may lead to further problems with jellies.",,Biophysical
Soils: A Contemporary Perspective,"Soils are viewed in the context of ecosystem services, soil processes and properties, and key attributes and constraints. The framework used is based on the premise that the natural capital of soils that underlies ecosystem services is primarily determined by three core soil properties: texture, mineralogy, and soil organic matter. Up-to-date descriptions and geographical distribution of soil orders as well as soil attributes and constraints are given, along with the relationships between soil orders, properties, and biomes. We then relate ecosystem services to specific soil processes, soil properties, and soil constraints and attributes. Soil degradation at present is not adequately assessed and quantified. The use of an approach combining digital soil maps, pedotransfer functions, remote sensing, spectral analysis, and soil inference systems is suggested for simultaneous characterization of various chemical, physical, and biological properties to overcome the great limitations and costs of conventional methods of soil assessments.",,Biophysical
AQUACULTURE AND OCEAN RESOURCES: Raising Tigers of the Sea,"▪ Abstract  With continued human pressure on marine fisheries and ocean resources, aquaculture has become one of the most promising avenues for increasing marine fish production in the future. This review presents recent trends and future prospects for the aquaculture industry, with particular attention paid to ocean farming and carnivorous finfish species. The benefits of farming carnivorous fish have been challenged; extensive research on salmon has shown that farming such fish can have negative ecological, social, and health impacts on areas and parties vastly separated in space. Similar research is only beginning for the new carnivorous species farmed or ranched in marine environments, such as cod, halibut, and bluefin tuna. These fish have large market potential and are likely to play a defining role in the future direction of the aquaculture industry. We review the available literature on aquaculture development of carnivorous finfish species and assess its potential to relieve human pressure on marine fisheries, many of which have experienced sharp declines.",,Biophysical
"Personality predicts behavioral flexibility in a fluctuating, natural environment","In captivity, personality types differ in behavioral flexibility: “fast” (neophilic, exploratory, and aggressive) types quickly form routines, whereas “slow” types continually adjust their behavior with environmental changes. If these differences extend to pertinent natural environmental changes, which indicate changing predation or starvation threat, then personality may reflect important variation in how animals manage risk. We examined whether personality traits classified in captivity would predict the behavioral flexibility of blue tits Cyanistes caeruleus as they foraged in the wild. Behavioral flexibility was defined as the tendency to adjust feeder use with changing winter air temperature, an indicator of starvation risk. At the population level, birds reduced their feeder use on warm days. Individuals, though, varied widely, with some instead using feeders at a relatively fixed, temperature-independent rate. Sex and size, correlates of dominance in blue tits, did not predict behavioral flexibility. Instead, behavioral flexibility was predicted by age and 2 personality traits: old, neophobic, and exploratory birds were more behaviorally flexible than young, neophilic, and nonexploratory birds. Our findings suggest that personality types differ in how they use information about their environments and hence cope with environmental change",,Biophysical
"Sensory ecology in a changing world: salinity alters conspecific recognition in an amphidromous fish , Pseudomugil signifer","Group fission and fusion processes are driven by state dependence, risk and the availability of information from others. Yet the availability of information changes under different environmental conditions, thus aiding or inhibiting group formation and maintenance. Chemical cues provide information on the location of individuals and can act as a mechanism for individuals to group together, although they can be greatly affected by environmental conditions. Using a flow channel, we studied how one shoaling fish species, the Pacific blue-eye {Pseudomugil signifer), responds to conspecific chemical cues (CCCs) in different environmental conditions (salinities). This species lives in estuarine environments, ranging in salinity from fresh to fully marine. P. signifer responded to CCCs in freshwater but not in saltwater. Furthermore, P. signifer did not respond to saltwater with CCCs added from freshwater. It took significantly longer for fish in saltwater, than in freshwater, to locate and join a shoal when only CCCs from the shoal were present. Finally, fish formed more cohesive shoals in freshwater than in brackish or saltwater. These results suggest that these fish do not rely on chemical cues in saltwater to locate conspecific shoals. Furthermore, the reduced amounts of these cues in saltwater may inhibit the maintenance of tight shoal structures. We suggest that fish utilise different sensory modalities in fresh or saltwater in order to locate one another, or the social structure of these groups is fundamentally different between these two water types. The importance of this study in relation to understanding how animals utilise and change different sensory modalities in varying environmental conditions is discussed.",,Biophysical
